id1,id2,correlation,Metadata_line_ID1,Metadata_plating_density1,Metadata_line_ID2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
45,2,0.41092458694600803,45,10000,2,10000,1074.5,1831.5,757,2906
13,3,0.4108122636408294,13,10000,3,10000,2435.5,1562,873.5,3997.5
19,9,0.4093740627063025,19,10000,9,10000,2818,2443,375,5261
5,3,0.40925679101756424,5,10000,3,10000,1316,1562,246,2878
37,3,0.40813767488066643,37,10000,3,10000,1298,1562,264,2860
47,3,0.40808064152608375,47,10000,3,10000,770,1562,792,2332
10,2,0.4048706015183784,10,10000,2,10000,1904.5,1831.5,73,3736
39,3,0.40245118666029667,39,10000,3,10000,1375.5,1562,186.5,2937.5
16,14,0.40031452493318487,16,10000,14,10000,2899.5,2670,229.5,5569.5
43,26,0.398605970139806,43,10000,26,10000,3754.5,2680.5,1074,6435
48,18,0.3955888715103527,48,10000,18,10000,3278.5,2353,925.5,5631.5
14,6,0.39512650376346775,14,10000,6,10000,2670,2210,460,4880
35,29,0.3948890328106607,35,10000,29,10000,4636.5,4622.5,14,9259
27,7,0.39463397238419,27,10000,7,10000,1683.5,2547.5,864,4231
35,33,0.39337941043779545,35,10000,33,10000,4636.5,3693.5,943,8330
30,27,0.39317360815380986,30,10000,27,10000,1390,1683.5,293.5,3073.5
23,13,0.38737216454321377,23,10000,13,10000,3597.5,2435.5,1162,6033
40,18,0.3872398554325952,40,10000,18,10000,1394.5,2353,958.5,3747.5
40,5,0.3845184884537657,40,10000,5,10000,1394.5,1316,78.5,2710.5
36,18,0.382089682831041,36,10000,18,10000,1383.5,2353,969.5,3736.5
38,24,0.38194608331804236,38,10000,24,10000,3222,3044,178,6266
30,2,0.38112048053922964,30,10000,2,10000,1390,1831.5,441.5,3221.5
27,6,0.3792603207535456,27,10000,6,10000,1683.5,2210,526.5,3893.5
35,15,0.37802357599073844,35,10000,15,10000,4636.5,3591.5,1045,8228
11,3,0.3737220047073418,11,10000,3,10000,1164,1562,398,2726
40,9,0.3685395610904207,40,10000,9,10000,1394.5,2443,1048.5,3837.5
34,26,0.3647225236422406,34,10000,26,10000,3667,2680.5,986.5,6347.5
39,28,0.362295816321527,39,10000,28,10000,1375.5,5450.5,4075,6826
22,13,0.36039458599426133,22,10000,13,10000,2002,2435.5,433.5,4437.5
34,32,0.360130194680397,34,10000,32,10000,3667,6086.5,2419.5,9753.5
35,16,0.35976215807138096,35,10000,16,10000,4636.5,2899.5,1737,7536
37,6,0.35949615679536406,37,10000,6,10000,1298,2210,912,3508
14,11,0.35221136231284483,14,10000,11,10000,2670,1164,1506,3834
35,17,0.3516332152724159,35,10000,17,10000,4636.5,2540,2096.5,7176.5
30,10,0.34658300698415795,30,10000,10,10000,1390,1904.5,514.5,3294.5
48,10,0.3459210229462459,48,10000,10,10000,3278.5,1904.5,1374,5183
34,33,0.3417149047844967,34,10000,33,10000,3667,3693.5,26.5,7360.5
35,24,0.33869512051559986,35,10000,24,10000,4636.5,3044,1592.5,7680.5
28,14,0.33510218644806,28,10000,14,10000,5450.5,2670,2780.5,8120.5
35,4,0.3347575737245668,35,10000,4,10000,4636.5,3088.5,1548,7725
36,1,0.33391008870085437,36,10000,1,10000,1383.5,1052,331.5,2435.5
21,3,0.33353111431334176,21,10000,3,10000,1749,1562,187,3311
37,10,0.3330060062464277,37,10000,10,10000,1298,1904.5,606.5,3202.5
17,7,0.3326287490267622,17,10000,7,10000,2540,2547.5,7.5,5087.5
33,15,0.33012929535777746,33,10000,15,10000,3693.5,3591.5,102,7285
26,13,0.3287347131687216,26,10000,13,10000,2680.5,2435.5,245,5116
25,22,0.3284048283170403,25,10000,22,10000,3228.5,2002,1226.5,5230.5
42,23,0.32804383480842647,42,10000,23,10000,2869.5,3597.5,728,6467
32,15,0.32700036912778996,32,10000,15,10000,6086.5,3591.5,2495,9678
47,6,0.3225449997425948,47,10000,6,10000,770,2210,1440,2980
26,25,0.3204343808289304,26,10000,25,10000,2680.5,3228.5,548,5909
20,8,0.3204221813800715,20,10000,8,10000,3747,2469,1278,6216
42,19,0.3192213562726442,42,10000,19,10000,2869.5,2818,51.5,5687.5
39,2,0.31895640183993895,39,10000,2,10000,1375.5,1831.5,456,3207
22,2,0.3189454635844757,22,10000,2,10000,2002,1831.5,170.5,3833.5
7,3,0.31851049273591486,7,10000,3,10000,2547.5,1562,985.5,4109.5
35,28,0.31225124252686676,35,10000,28,10000,4636.5,5450.5,814,10087
35,34,0.30968117575293946,35,10000,34,10000,4636.5,3667,969.5,8303.5
27,10,0.3078716227569839,27,10000,10,10000,1683.5,1904.5,221,3588
41,35,0.30699184605967184,41,10000,35,10000,3368.5,4636.5,1268,8005
46,3,0.30503573750386487,46,10000,3,10000,567.5,1562,994.5,2129.5
45,10,0.3049390055362725,45,10000,10,10000,1074.5,1904.5,830,2979
47,2,0.3032163701837745,47,10000,2,10000,770,1831.5,1061.5,2601.5
18,2,0.3017589497028115,18,10000,2,10000,2353,1831.5,521.5,4184.5
13,10,0.3012406139056122,13,10000,10,10000,2435.5,1904.5,531,4340
30,9,0.3006071378500849,30,10000,9,10000,1390,2443,1053,3833
29,14,0.2999373477056656,29,10000,14,10000,4622.5,2670,1952.5,7292.5
33,23,0.29961070755667235,33,10000,23,10000,3693.5,3597.5,96,7291
31,24,0.2970189033456764,31,10000,24,10000,3363,3044,319,6407
36,10,0.2962002993727153,36,10000,10,10000,1383.5,1904.5,521,3288
13,1,0.2956834234650919,13,10000,1,10000,2435.5,1052,1383.5,3487.5
32,14,0.2909350288427774,32,10000,14,10000,6086.5,2670,3416.5,8756.5
39,10,0.2891494607590243,39,10000,10,10000,1375.5,1904.5,529,3280
37,28,0.28721552965780406,37,10000,28,10000,1298,5450.5,4152.5,6748.5
10,3,0.28303748232283865,10,10000,3,10000,1904.5,1562,342.5,3466.5
48,31,0.28261534263974586,48,10000,31,10000,3278.5,3363,84.5,6641.5
35,32,0.28192157491882464,35,10000,32,10000,4636.5,6086.5,1450,10723
30,5,0.28148274177902244,30,10000,5,10000,1390,1316,74,2706
16,5,0.2782132981486978,16,10000,5,10000,2899.5,1316,1583.5,4215.5
48,4,0.27763152003982994,48,10000,4,10000,3278.5,3088.5,190,6367
36,14,0.2775941522239951,36,10000,14,10000,1383.5,2670,1286.5,4053.5
28,17,0.27527755066511045,28,10000,17,10000,5450.5,2540,2910.5,7990.5
28,5,0.2752331696400126,28,10000,5,10000,5450.5,1316,4134.5,6766.5
40,1,0.2720039534229957,40,10000,1,10000,1394.5,1052,342.5,2446.5
29,13,0.2689161727626101,29,10000,13,10000,4622.5,2435.5,2187,7058
48,33,0.2678111639118858,48,10000,33,10000,3278.5,3693.5,415,6972
29,15,0.26774580199198605,29,10000,15,10000,4622.5,3591.5,1031,8214
10,9,0.26739858986315085,10,10000,9,10000,1904.5,2443,538.5,4347.5
41,19,0.2652931811356427,41,10000,19,10000,3368.5,2818,550.5,6186.5
41,34,0.2650542937950009,41,10000,34,10000,3368.5,3667,298.5,7035.5
27,2,0.2649935890745056,27,10000,2,10000,1683.5,1831.5,148,3515
27,17,0.2647540569208785,27,10000,17,10000,1683.5,2540,856.5,4223.5
48,26,0.2635194767646615,48,10000,26,10000,3278.5,2680.5,598,5959
43,32,0.26330611219792593,43,10000,32,10000,3754.5,6086.5,2332,9841
22,10,0.2626451214297348,22,10000,10,10000,2002,1904.5,97.5,3906.5
36,9,0.25883679953677924,36,10000,9,10000,1383.5,2443,1059.5,3826.5
38,16,0.25820431798259075,38,10000,16,10000,3222,2899.5,322.5,6121.5
41,29,0.2518314608463263,41,10000,29,10000,3368.5,4622.5,1254,7991
32,17,0.2487899493273366,32,10000,17,10000,6086.5,2540,3546.5,8626.5
28,16,0.24838436215013757,28,10000,16,10000,5450.5,2899.5,2551,8350
44,24,0.24784475007454157,44,10000,24,10000,2771.5,3044,272.5,5815.5
46,28,0.24777148377891395,46,10000,28,10000,567.5,5450.5,4883,6018
24,20,0.24724841823446048,24,10000,20,10000,3044,3747,703,6791
30,20,0.2459716932992841,30,10000,20,10000,1390,3747,2357,5137
48,30,0.2449551754156498,48,10000,30,10000,3278.5,1390,1888.5,4668.5
22,15,0.24460786218151018,22,10000,15,10000,2002,3591.5,1589.5,5593.5
34,16,0.24276671343730294,34,10000,16,10000,3667,2899.5,767.5,6566.5
28,21,0.2427665454310303,28,10000,21,10000,5450.5,1749,3701.5,7199.5
46,6,0.24249963976349598,46,10000,6,10000,567.5,2210,1642.5,2777.5
40,3,0.24090210720859714,40,10000,3,10000,1394.5,1562,167.5,2956.5
33,19,0.24085260511503467,33,10000,19,10000,3693.5,2818,875.5,6511.5
22,8,0.24033415433045216,22,10000,8,10000,2002,2469,467,4471
44,27,0.2375982520420222,44,10000,27,10000,2771.5,1683.5,1088,4455
29,26,0.23711730131031536,29,10000,26,10000,4622.5,2680.5,1942,7303
34,14,0.23670664251423087,34,10000,14,10000,3667,2670,997,6337
48,35,0.23649612942616202,48,10000,35,10000,3278.5,4636.5,1358,7915
14,3,0.23524338787574667,14,10000,3,10000,2670,1562,1108,4232
22,3,0.23481640485705102,22,10000,3,10000,2002,1562,440,3564
38,8,0.23365793416202013,38,10000,8,10000,3222,2469,753,5691
43,33,0.23349717504228384,43,10000,33,10000,3754.5,3693.5,61,7448
21,6,0.23057955277804873,21,10000,6,10000,1749,2210,461,3959
47,28,0.22927032741443817,47,10000,28,10000,770,5450.5,4680.5,6220.5
38,35,0.22857894318446176,38,10000,35,10000,3222,4636.5,1414.5,7858.5
41,33,0.22324926572915618,41,10000,33,10000,3368.5,3693.5,325,7062
43,14,0.2230554230931494,43,10000,14,10000,3754.5,2670,1084.5,6424.5
36,3,0.2213786141600724,36,10000,3,10000,1383.5,1562,178.5,2945.5
30,19,0.2186705050392119,30,10000,19,10000,1390,2818,1428,4208
28,27,0.21813476830294198,28,10000,27,10000,5450.5,1683.5,3767,7134
29,16,0.2170839841590587,29,10000,16,10000,4622.5,2899.5,1723,7522
46,18,0.2164203718205604,46,10000,18,10000,567.5,2353,1785.5,2920.5
10,4,0.21555593309186458,10,10000,4,10000,1904.5,3088.5,1184,4993
24,4,0.21352074866518111,24,10000,4,10000,3044,3088.5,44.5,6132.5
45,6,0.21343699230704047,45,10000,6,10000,1074.5,2210,1135.5,3284.5
27,22,0.21343274783517158,27,10000,22,10000,1683.5,2002,318.5,3685.5
17,14,0.2128490339190396,17,10000,14,10000,2540,2670,130,5210
41,9,0.21194093229949143,41,10000,9,10000,3368.5,2443,925.5,5811.5
36,22,0.21181828569148956,36,10000,22,10000,1383.5,2002,618.5,3385.5
17,8,0.21009051017161998,17,10000,8,10000,2540,2469,71,5009
40,14,0.2097053688162034,40,10000,14,10000,1394.5,2670,1275.5,4064.5
25,3,0.20854457142781047,25,10000,3,10000,3228.5,1562,1666.5,4790.5
32,16,0.2076098485902653,32,10000,16,10000,6086.5,2899.5,3187,8986
21,17,0.20447467725062335,21,10000,17,10000,1749,2540,791,4289
29,6,0.20427805576845623,29,10000,6,10000,4622.5,2210,2412.5,6832.5
42,33,0.203550516496069,42,10000,33,10000,2869.5,3693.5,824,6563
22,7,0.20306216629747886,22,10000,7,10000,2002,2547.5,545.5,4549.5
