plate_map_name	well_position	plating_density	line_ID
cmQTL_plate6_8.27.2019	O22	10000	267
cmQTL_plate6_8.27.2019	O23	10000	254
cmQTL_plate6_8.27.2019	O24	10000	254
cmQTL_plate6_8.27.2019	P01	10000	242
cmQTL_plate6_8.27.2019	P02	10000	242
cmQTL_plate6_8.27.2019	P03	10000	257
cmQTL_plate6_8.27.2019	P04	10000	257
cmQTL_plate6_8.27.2019	P05	10000	240
cmQTL_plate6_8.27.2019	P06	10000	240
cmQTL_plate6_8.27.2019	P07	10000	263
cmQTL_plate6_8.27.2019	P08	10000	263
cmQTL_plate6_8.27.2019	P09	10000	250
cmQTL_plate6_8.27.2019	P10	10000	250
cmQTL_plate6_8.27.2019	P11	10000	253
cmQTL_plate6_8.27.2019	P12	10000	253
cmQTL_plate6_8.27.2019	P13	10000	235
cmQTL_plate6_8.27.2019	P14	10000	235
cmQTL_plate6_8.27.2019	P15	10000	255
cmQTL_plate6_8.27.2019	P16	10000	255
cmQTL_plate6_8.27.2019	P17	10000	265
cmQTL_plate6_8.27.2019	P18	10000	265
cmQTL_plate6_8.27.2019	P19	10000	245
cmQTL_plate6_8.27.2019	P20	10000	245
cmQTL_plate6_8.27.2019	P21	10000	267
cmQTL_plate6_8.27.2019	P22	10000	267
cmQTL_plate6_8.27.2019	P23	10000	254
cmQTL_plate6_8.27.2019	P24	10000	254
